
epoch,qua_kappa,qua_acc,qua_recall,qua_recall0,disc_kappa,disc_acc,disc_recall,disc_recall0,macular_kappa,macular_acc,macular_recall,macular_recall0,clear_kappa,clear_acc,clear_recall,clear_recall0,read_kappa,read_acc,read_recall,read_recall0,others_kappa,others_acc,others_recall,others_recall0
0,0.01948842874543233,0.678,0.23,0.79,0.09548695596978607,0.829,0.21505376344086022,0.8919514884233738,0.015610843961251675,0.548,0.3950617283950617,0.621301775147929,-0.06530658864668726,0.515,0.34256055363321797,0.5850914205344585,-0.026186350189921104,0.531,0.31978319783197834,0.6545166402535658,0.015700868898543385,0.507,0.49146110056925996,0.5243128964059197
1,0.05335628227194478,0.78,0.085,0.95375,0.12282272068169209,0.902,0.0967741935483871,0.9845644983461963,0.0462923274753535,0.644,0.16666666666666666,0.8727810650887574,-0.030885445424748248,0.649,0.10380622837370242,0.870604781997187,0.06871418838441523,0.62,0.18699186991869918,0.873217115689382,0.12953912024881853,0.569,0.650853889943074,0.47780126849894294
2,0.05164737310774725,0.787,0.07,0.96625,0.16056741869765334,0.911,0.10752688172043011,0.9933847850055126,0.061146438116302604,0.674,0.09876543209876543,0.9497041420118343,0.05377749284939337,0.693,0.11418685121107267,0.9282700421940928,0.15844750395529683,0.65,0.2682926829268293,0.873217115689382,0.17215549009600584,0.588,0.6242884250474383,0.547568710359408
3,0.18839360807401184,0.807,0.175,0.965,0.10025706940874024,0.909,0.06451612903225806,0.9955898566703418,0.12248190459579655,0.678,0.19135802469135801,0.9112426035502958,0.07467752050465437,0.699,0.12802768166089964,0.9310829817158931,0.1841806944898996,0.656,0.3062330623306233,0.8605388272583201,0.2795650021532555,0.642,0.6888045540796964,0.5898520084566596
4,0.2892561983471075,0.828,0.245,0.97375,0.08511280464800419,0.903,0.06451612903225806,0.9889746416758545,0.15956735989309268,0.678,0.2623456790123457,0.8772189349112426,0.09122727300638,0.704,0.1384083044982699,0.9338959212376934,0.2746846703008461,0.682,0.4281842818428184,0.8304278922345484,0.30177714819226686,0.653,0.698292220113852,0.6025369978858351
5,0.27864798021434467,0.825,0.24,0.97125,0.2980024170043364,0.921,0.20430107526881722,0.9944873208379272,0.19056676354932467,0.697,0.25308641975308643,0.9097633136094675,0.15503440870711105,0.723,0.17993079584775087,0.9437412095639943,0.3010272849805108,0.693,0.44715447154471544,0.8367670364500792,0.37120905782450464,0.689,0.7741935483870968,0.5940803382663847
6,0.32453416149068326,0.826,0.305,0.95625,0.18251675840645265,0.91,0.12903225806451613,0.9900771775082691,0.23355919521117385,0.705,0.3117283950617284,0.893491124260355,0.17806417674907948,0.725,0.21107266435986158,0.9338959212376934,0.3286011393435211,0.703,0.47696476964769646,0.8351822503961965,0.4006990503694349,0.702,0.7400379506641366,0.6596194503171248
7,0.420893262679788,0.847,0.385,0.9625,0.3482325094763562,0.924,0.24731182795698925,0.9933847850055126,0.23635271703114635,0.705,0.31790123456790126,0.8905325443786982,0.14168001831082622,0.715,0.18339100346020762,0.9310829817158931,0.3610661572882674,0.711,0.5392953929539296,0.8114104595879557,0.36006053263892523,0.682,0.7267552182163188,0.6321353065539113
8,0.421209858103062,0.845,0.395,0.9575,0.3631474667421454,0.919,0.2903225806451613,0.9834619625137817,0.2430707957408763,0.702,0.345679012345679,0.8727810650887574,0.18846388224816002,0.723,0.23529411764705882,0.9212376933895922,0.3696859766466386,0.722,0.4959349593495935,0.8541996830427893,0.4174203372533579,0.71,0.7381404174573055,0.678646934460888
9,0.4245889921372409,0.839,0.43,0.94125,0.4798782759905602,0.933,0.3763440860215054,0.9900771775082691,0.23405585660691963,0.706,0.30864197530864196,0.8964497041420119,0.26155751811863914,0.752,0.2629757785467128,0.9507735583684951,0.4330387792616216,0.744,0.5799457994579946,0.8399366085578447,0.44617194045240705,0.725,0.7741935483870968,0.6701902748414377
10,0.5181564245810055,0.862,0.515,0.94875,0.46639057024530106,0.933,0.3548387096774194,0.9922822491730982,0.2843317033414833,0.719,0.36728395061728397,0.8875739644970414,0.258066006143329,0.743,0.2906574394463668,0.9268635724331927,0.369909532273897,0.715,0.5447154471544715,0.8145800316957211,0.42913685492464615,0.715,0.7172675521821632,0.7124735729386892
11,0.4413793103448276,0.838,0.47,0.93,0.5344644123906361,0.937,0.44086021505376344,0.9878721058434399,0.26151128796491796,0.709,0.35802469135802467,0.8772189349112426,0.23683028257438743,0.735,0.28027681660899656,0.919831223628692,0.4551821405190708,0.752,0.6097560975609756,0.8351822503961965,0.4353166246000997,0.719,0.7495256166982922,0.6849894291754757
12,0.6016483516483516,0.884,0.59,0.9575,0.5049065973043273,0.933,0.41935483870967744,0.9856670341786108,0.2932271400778209,0.721,0.37962962962962965,0.8846153846153846,0.2784046182104435,0.747,0.314878892733564,0.9226441631504922,0.42793497527552293,0.736,0.6205962059620597,0.803486529318542,0.4321362550795613,0.718,0.7666034155597723,0.6638477801268499
epoch,qua_kappa,qua_acc,qua_recall,qua_recall0,disc_kappa,disc_acc,disc_recall,disc_recall0,macular_kappa,macular_acc,macular_recall,macular_recall0,clear_kappa,clear_acc,clear_recall,clear_recall0,read_kappa,read_acc,read_recall,read_recall0,others_kappa,others_acc,others_recall,others_recall0
0,0.1321388577827547,0.69,0.38,0.7675,0.14599463426817383,0.788,0.43037974683544306,0.8186753528773073,0.05463788813738957,0.579,0.37920489296636084,0.6760772659732541,0.011293778409659838,0.605,0.2965779467680608,0.7150610583446404,0.045543617812014325,0.548,0.4097938144329897,0.6356209150326797,0.11181150354473424,0.557,0.6105675146771037,0.5010224948875256
